"fips","state","county","year","menthlth","heartattack","ACheartdis","stroke","asthma","age","sex","white","black","asian","race_other","educ1","educ2","educ3","income1","income2","income3","income4","income5","income6","income7","income8","married","unmarried","employed","out_of_work","homemaker","student","employ_other","HLTHPLN1","exercise","smoke","drink","bmi_cat1","bmi_cat2","bmi_cat3","bmi_cts","genhlth_ex","genhlth_vg","genhlth_go","genhlth_fa","genhlth_po","qlactlm"
44777,44,NA,2011,9.5,0,0,0.0384615384615385,0.153846153846154,46.3076923076923,0.538461538461538,NA,NA,NA,NA,0.115384615384615,0.230769230769231,0.653846153846154,0.05,0.05,0,0,0.05,0.4,0.2,0.25,0.423076923076923,0.576923076923077,0.461538461538462,0.0769230769230769,0.153846153846154,0.192307692307692,0.115384615384615,0.846153846153846,0.875,0.0769230769230769,0.739130434782609,0.434782608695652,0.391304347826087,0.173913043478261,26.4273913043478,0.2,0.4,0.2,0.16,0.04,0.125
44888,44,888,2011,30,0,0,0,0,38,1,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,26.58,0,1,0,0,0,1
44999,44,NA,2011,13.4509803921569,0.0310880829015544,0.0362694300518135,0.0155440414507772,0.0984455958549223,51.3416149068323,0.675257731958763,1,0,0,0,0.0206185567010309,0.355670103092784,0.623711340206186,0.0784313725490196,0.0392156862745098,0.0294117647058824,0.0882352941176471,0.0980392156862745,0.166666666666667,0.215686274509804,0.284313725490196,0.545454545454545,0.454545454545455,0.587301587301587,0.0634920634920635,0.0423280423280423,0.0264550264550265,0.28042328042328,0.90625,0.772222222222222,0.145077720207254,0.565714285714286,0.448717948717949,0.333333333333333,0.217948717948718,26.5527564102564,0.22680412371134,0.350515463917526,0.304123711340206,0.0721649484536082,0.0463917525773196,0.25
45001,45,1,2011,11.9782608695652,0.0340136054421769,0.0342465753424658,0.027027027027027,0.106666666666667,58.2266666666667,0.62,NA,NA,NA,NA,0.0533333333333333,0.486666666666667,0.46,0.0852713178294574,0.116279069767442,0.108527131782946,0.178294573643411,0.131782945736434,0.147286821705426,0.13953488372093,0.0930232558139535,0.5,0.5,0.416107382550336,0.0939597315436242,0.0469798657718121,0,0.442953020134228,0.865771812080537,0.664335664335664,0.174496644295302,0.359712230215827,0.307692307692308,0.321678321678322,0.370629370629371,29.1324475524476,0.108108108108108,0.310810810810811,0.304054054054054,0.209459459459459,0.0675675675675676,0.330985915492958
45003,45,3,2011,12.1098901098901,0.065,0.0698835274542429,0.0529801324503311,0.121710526315789,57.6135986733002,0.597039473684211,0.666666666666667,0.166666666666667,0,0.166666666666667,0.0396039603960396,0.35973597359736,0.600660066006601,0.0525291828793774,0.0680933852140078,0.0817120622568093,0.101167315175097,0.118677042801556,0.14591439688716,0.171206225680934,0.260700389105058,0.584158415841584,0.415841584158416,0.435643564356436,0.0643564356435644,0.0594059405940594,0.0132013201320132,0.427392739273927,0.886138613861386,0.717465753424658,0.170812603648425,0.474605954465849,0.351535836177474,0.358361774744027,0.290102389078498,28.1039419795222,0.138613861386139,0.341584158415842,0.287128712871287,0.158415841584158,0.0742574257425743,0.337979094076655
45007,45,7,2011,14.0787401574803,0.0588235294117647,0.0613207547169811,0.0515222482435597,0.152224824355972,55,0.62004662004662,0.692307692307692,0.153846153846154,0.0769230769230769,0.0769230769230769,0.0397196261682243,0.446261682242991,0.514018691588785,0.0732394366197183,0.0873239436619718,0.0957746478873239,0.129577464788732,0.157746478873239,0.129577464788732,0.140845070422535,0.185915492957746,0.524590163934426,0.475409836065574,0.41958041958042,0.0815850815850816,0.0745920745920746,0.0163170163170163,0.407925407925408,0.831381733021077,0.686274509803922,0.182033096926714,0.358395989974937,0.314356435643564,0.373762376237624,0.311881188118812,28.3320049504951,0.151515151515152,0.312354312354312,0.319347319347319,0.132867132867133,0.0839160839160839,0.325814536340852
45009,45,9,2011,17.0454545454545,0.0714285714285714,0.111111111111111,0.121212121212121,0.1,60.6632653061224,0.58,NA,NA,NA,NA,0.09,0.43,0.48,0.178571428571429,0.0952380952380952,0.119047619047619,0.130952380952381,0.107142857142857,0.142857142857143,0.0952380952380952,0.130952380952381,0.5,0.5,0.414141414141414,0.0707070707070707,0.0404040404040404,0,0.474747474747475,0.86,0.572916666666667,0.202020202020202,0.337209302325581,0.237113402061856,0.381443298969072,0.381443298969072,30.080206185567,0.0510204081632653,0.214285714285714,0.346938775510204,0.244897959183673,0.142857142857143,0.355555555555556
45011,45,11,2011,13.2758620689655,0.0315789473684211,0.0315789473684211,0.103092783505155,0.0947368421052632,57.3636363636364,0.555555555555556,1,0,0,0,0.101010101010101,0.565656565656566,0.333333333333333,0.155844155844156,0.116883116883117,0.142857142857143,0.155844155844156,0.103896103896104,0.116883116883117,0.103896103896104,0.103896103896104,0.424242424242424,0.575757575757576,0.323232323232323,0.131313131313131,0.0505050505050505,0.0404040404040404,0.454545454545455,0.783505154639175,0.627659574468085,0.247422680412371,0.268817204301075,0.234042553191489,0.329787234042553,0.436170212765957,29.9226595744681,0.101010101010101,0.232323232323232,0.292929292929293,0.222222222222222,0.151515151515152,0.362637362637363
45013,45,13,2011,10.6650485436893,0.0490430622009569,0.0703218116805721,0.0535714285714286,0.098927294398093,61.127990430622,0.590261282660333,0.833333333333333,0.166666666666667,0,0,0.014268727705113,0.206896551724138,0.778834720570749,0.0374479889042996,0.0346740638002774,0.0471567267683773,0.0471567267683773,0.0943134535367545,0.145631067961165,0.174757281553398,0.418862690707351,0.625744934445769,0.374255065554231,0.363636363636364,0.0526315789473684,0.0681818181818182,0.0119617224880383,0.503588516746411,0.920047732696897,0.833333333333333,0.103942652329749,0.647869674185464,0.402469135802469,0.391358024691358,0.206172839506173,26.7226790123457,0.225419664268585,0.388489208633094,0.248201438848921,0.105515587529976,0.0323741007194245,0.268991282689913
45015,45,15,2011,12.1224489795918,0.0568181818181818,0.0510440835266821,0.0452488687782805,0.113122171945701,53.749430523918,0.622171945701357,0.818181818181818,0.181818181818182,0,0,0.0409090909090909,0.472727272727273,0.486363636363636,0.0714285714285714,0.0714285714285714,0.100529100529101,0.0952380952380952,0.137566137566138,0.161375661375661,0.17989417989418,0.182539682539683,0.535307517084282,0.464692482915718,0.45,0.0818181818181818,0.0659090909090909,0.0227272727272727,0.379545454545455,0.873015873015873,0.704225352112676,0.222727272727273,0.424096385542169,0.297169811320755,0.308962264150943,0.393867924528302,28.9366037735849,0.143835616438356,0.251141552511416,0.342465753424658,0.159817351598174,0.102739726027397,0.338942307692308
